Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-ex-MHV-heartRate-3.json	1000	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-1.json	1191	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	49	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-2.json	1192	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-3.json	1208	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	45	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-5.json	1294	35	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	37	47	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-6.json	1300	6	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	30	44	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-oxygenSat-7.json	1365	56	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	49	44	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-0.json	1023	9	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	34	41	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-1.json	1079	19	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	50	36	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-10.json	1089	13	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	40	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-14.json	632	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	56	67	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-2.json	1023	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	55	53	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-3.json	1023	8	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	32	50	0	0	1	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-4.json	1023	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	100	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-5.json	1087	7	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	49	77	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-6.json	1023	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	63	87	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-7.json	1077	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	76	48	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-8.json	1080	67	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	49	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-pain-9.json	1084	25	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	100	36	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-respirationRate-1.json	1017	6	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	57	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-respirationRate-2.json	1016	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	54	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-respirationRate-3.json	1018	9	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	46	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-0.json	958	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	50	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-1.json	1210	15	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	54	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-2.json	1217	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	50	92	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-3.json	1216	8	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	62	76	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-4.json	1198	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	62	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-5.json	1206	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	57	53	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-6.json	1216	10	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	88	41	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-temperature-7.json	796	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	50	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-weight-1.json	1007	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	61	56	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-MHV-weight.json	1010	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	52	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106100.json	962	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	51	60	0	0	1	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106101.json	945	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	54	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106102.json	945	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	81	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106103.json	1128	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	53	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106104.json	1128	6	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	61	59	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106105.json	1087	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	45	42	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-bloodSugarB-106106.json	1033	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	52	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-other-oxygenSat-4.json	745	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	47	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-other-oxygenSat-8.json	1180	7	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	42	61	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-pain-11.json	749	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	39	40	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-pain-12.json	1074	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	44	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-pain-13.json	671	4	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	34	43	1	0	0	0	0	0
fsh-generated/resources/Observation-ex-pain-14.json	808	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	129	44	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-temperature-10.json	930	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	91	51	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-temperature-11.json	762	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	67	49	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-temperature-12.json	965	6	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	52	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-temperature-8.json	907	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	98	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-temperature-9.json	930	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	40	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight-apple.json	1075	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	39	0	0	0	0	0	1
fsh-generated/resources/Observation-ex-weight-core.json	877	11	0	0	0	0	0	0	1	11	1	0	0	0	0	0	0	0	0	0	158	42	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight-period-end.json	639	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	121	36	0	0	0	0	0	0
